0  	 0.007566  	 100,000  	 74.81  	 0.006156  	 100,000  	 79.95
1 	0.000522 	99,243 	74.38 	0.000416 	99,384 	79.45
2 	0.000358 	99,192 	73.42 	0.000257 	99,343 	78.48
3 	0.000255 	99,156 	72.45 	0.000181 	99,318 	77.50
4 	0.000204 	99,131 	71.47 	0.000155 	99,300 	76.52
5 	0.000184 	99,111 	70.48 	0.000147 	99,284 	75.53
6 	0.000174 	99,092 	69.49 	0.000142 	99,270 	74.54
7 	0.000163 	99,075 	68.51 	0.000137 	99,255 	73.55
8 	0.000143 	99,059 	67.52 	0.000129 	99,242 	72.56
9 	0.000117 	99,045 	66.53 	0.000117 	99,229 	71.57
10 	0.000096 	99,033 	65.53 	0.000107 	99,217 	70.58
11 	0.000101 	99,024 	64.54 	0.000106 	99,207 	69.58
12 	0.000155 	99,014 	63.55 	0.000123 	99,196 	68.59
13 	0.000272 	98,998 	62.56 	0.000162 	99,184 	67.60
14 	0.000435 	98,971 	61.57 	0.000218 	99,168 	66.61
15 	0.000613 	98,928 	60.60 	0.000282 	99,146 	65.62
16 	0.000781 	98,868 	59.64 	0.000342 	99,118 	64.64
17 	0.000940 	98,791 	58.68 	0.000390 	99,085 	63.67
18 	0.001077 	98,698 	57.74 	0.000420 	99,046 	62.69
19 	0.001195 	98,591 	56.80 	0.000437 	99,004 	61.72
20 	0.001314 	98,474 	55.87 	0.000454 	98,961 	60.74
21 	0.001427 	98,344 	54.94 	0.000473 	98,916 	59.77
22 	0.001496 	98,204 	54.02 	0.000487 	98,869 	58.80
23 	0.001510 	98,057 	53.10 	0.000497 	98,821 	57.83
24 	0.001482 	97,909 	52.18 	0.000505 	98,772 	56.86
25 	0.001439 	97,764 	51.25 	0.000512 	98,722 	55.88
26 	0.001404 	97,623 	50.33 	0.000522 	98,672 	54.91
27 	0.001380 	97,486 	49.40 	0.000538 	98,620 	53.94
28 	0.001376 	97,351 	48.47 	0.000564 	98,567 	52.97
29 	0.001390 	97,218 	47.53 	0.000597 	98,511 	52.00
30 	0.001413 	97,082 	46.60 	0.000636 	98,453 	51.03
31 	0.001439 	96,945 	45.66 	0.000681 	98,390 	50.06
32 	0.001474 	96,806 	44.73 	0.000730 	98,323 	49.10
33 	0.001521 	96,663 	43.79 	0.000784 	98,251 	48.13
34 	0.001581 	96,516 	42.86 	0.000844 	98,174 	47.17
35 	0.001653 	96,363 	41.93 	0.000911 	98,091 	46.21
36 	0.001745 	96,204 	40.99 	0.000988 	98,002 	45.25
37 	0.001869 	96,036 	40.06 	0.001080 	97,905 	44.29
38 	0.002028 	95,857 	39.14 	0.001187 	97,799 	43.34
39 	0.002219 	95,662 	38.22 	0.001309 	97,683 	42.39
40 	0.002436 	95,450 	37.30 	0.001442 	97,556 	41.45
41 	0.002670 	95,218 	36.39 	0.001584 	97,415 	40.51
42 	0.002918 	94,963 	35.49 	0.001736 	97,261 	39.57
43 	0.003176 	94,686 	34.59 	0.001896 	97,092 	38.64
44 	0.003448 	94,385 	33.70 	0.002066 	96,908 	37.71
45 	0.003738 	94,060 	32.81 	0.002250 	96,707 	36.79
46 	0.004055 	93,708 	31.93 	0.002446 	96,490 	35.87
47 	0.004410 	93,328 	31.06 	0.002647 	96,254 	34.96
48 	0.004809 	92,917 	30.20 	0.002850 	95,999 	34.05
49 	0.005245 	92,470 	29.34 	0.003060 	95,725 	33.14
50 	0.005730 	91,985 	28.49 	0.003295 	95,432 	32.24
51 	0.006237 	91,458 	27.65 	0.003555 	95,118 	31.35
52 	0.006716 	90,888 	26.83 	0.003821 	94,780 	30.46
53 	0.007148 	90,277 	26.00 	0.004090 	94,418 	29.57
54 	0.007565 	89,632 	25.19 	0.004374 	94,032 	28.69
55 	0.008007 	88,954 	24.37 	0.004686 	93,620 	27.82
56 	0.008531 	88,242 	23.57 	0.005050 	93,182 	26.94
57 	0.009170 	87,489 	22.77 	0.005493 	92,711 	26.08
58 	0.009955 	86,686 	21.97 	0.006031 	92,202 	25.22
59 	0.010869 	85,823 	21.19 	0.006653 	91,646 	24.37
60 	0.011908 	84,891 	20.42 	0.007365 	91,036 	23.53
61 	0.013015 	83,880 	19.66 	0.008130 	90,365 	22.70
62 	0.014131 	82,788 	18.91 	0.008907 	89,631 	21.88
63 	0.015226 	81,618 	18.17 	0.009676 	88,832 	21.08
